Time,TEMP,HUM,PRESS,EXT_PM_25,CO_PRE,NO2_PRE,O3_PRE,Month,SIN HOUR,COS HOUR,SIN DAY,COS DAY,SIN MONTH,COS MONTH,LAT,LONG,ALT
2019-08-01 00:00:00,20.733500000000006,45.94233333333332,101.36333333333332,4.933333333333334,0.31740097124395333,13.28380117582614,28.34595906315617,8,0.0,1.0,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 01:00:00,19.966166666666656,47.39783333333333,101.38666666666674,2.316666666666667,0.27458214797493885,8.770754530206743,30.401062564372634,8,0.25881904510252074,0.9659258262890683,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 02:00:00,19.34666666666667,48.83566666666669,101.39266666666678,4.15,0.267316590900166,9.182940318067299,29.703513960566617,8,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 03:00:00,18.824,49.928666666666665,101.40399999999991,4.016666666666667,0.25460513174946015,10.516588698760874,28.654117888638428,8,0.7071067811865476,0.7071067811865476,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 04:00:00,18.338166666666666,50.47983333333336,101.39850000000003,5.616666666666666,0.25130011066883223,14.539664414428112,31.397804950644687,8,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 05:00:00,17.90033333333333,50.81533333333334,101.4240000000001,9.333333333333334,0.2941259119290291,16.5187259756074,29.402202058770836,8,0.9659258262890683,0.25881904510252074,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 06:00:00,18.6105,51.82049999999996,101.45000000000005,9.766666666666667,0.37591988112025426,39.755693497990585,22.72961209475904,8,1.0,6.123233995736766e-17,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 07:00:00,20.923999999999992,51.38250000000003,101.46299999999998,11.816666666666666,0.3346268084893705,26.578562242641436,29.335026671191994,8,0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 08:00:00,23.393999999999995,49.97350000000001,101.458,11.75,0.3776498098995056,28.93342979638792,30.679556237315058,8,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 09:00:00,26.362499999999994,48.22849999999999,101.44533333333331,9.45,0.3372105194652198,24.107074033922338,30.629411190461916,8,0.7071067811865476,-0.7071067811865475,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 10:00:00,28.812166666666673,46.719333333333346,101.48033333333322,8.05,0.31565598150759516,24.884860112168756,29.388176065074994,8,0.49999999999999994,-0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 11:00:00,29.075833333333332,46.863000000000014,101.50350000000017,10.383333333333333,0.34200528490084425,28.4300648155448,25.927468316317086,8,0.258819045102521,-0.9659258262890682,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 12:00:00,30.870999999999988,45.38916666666664,101.52266666666665,9.083333333333334,0.3683333932135015,33.864720984723746,20.666463270828604,8,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 13:00:00,33.30283333333333,43.12716666666668,101.51950000000005,10.816666666666666,0.44370608550059804,47.43892151899623,22.25801897031015,8,-0.2588190451025208,-0.9659258262890683,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 14:00:00,34.11916666666667,42.527833333333334,101.48233333333332,9.95,0.43636100051764437,40.68206791088504,24.86175229027324,8,-0.4999999999999997,-0.8660254037844388,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 15:00:00,41.22216666666665,36.451333333333324,101.43999999999997,8.233333333333333,0.4578254603287934,48.14824877178449,30.4942810144748,8,-0.7071067811865471,-0.7071067811865479,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 16:00:00,39.971,38.83700000000002,101.41333333333333,8.3,0.44094517744497796,45.77831695284984,28.13804529065102,8,-0.8660254037844385,-0.5000000000000004,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 17:00:00,35.68999999999999,41.488833333333346,101.38333333333334,9.066666666666666,0.5456898845117184,41.15243514507578,17.05677425089956,8,-0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 18:00:00,32.35033333333333,42.83316666666668,101.39799999999991,7.883333333333334,0.4585377944058689,33.08151148942737,16.401694623213963,8,-1.0,-1.8369701987210297e-16,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 19:00:00,30.008833333333325,44.07433333333333,101.42166666666678,9.683333333333334,0.4270303326847903,22.277878917981408,22.124515569260495,8,-0.9659258262890684,0.2588190451025203,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 20:00:00,28.356999999999985,44.84966666666666,101.45566666666659,9.166666666666666,0.4376974371954374,14.996177883941098,25.454674243377408,8,-0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 21:00:00,26.996666666666673,45.42500000000002,101.51250000000009,8.75,0.3797389841315175,13.141151563936292,26.179720037165307,8,-0.7071067811865477,0.7071067811865474,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 22:00:00,26.109500000000008,45.95766666666668,101.52150000000003,10.3,0.4463422184459954,15.282919498451855,26.209575399321306,8,-0.5000000000000004,0.8660254037844384,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-01 23:00:00,25.371499999999994,46.33033333333332,101.55699999999995,12.45,0.3752155808150223,12.714947280403909,30.099870856899543,8,-0.25881904510252157,0.9659258262890681,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 00:00:00,24.350166666666663,47.13283333333332,101.58049999999999,14.283333333333333,0.3682186158542028,12.056462234973898,33.50948685276034,8,0.0,1.0,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 01:00:00,23.565166666666684,47.70483333333334,101.57116666666663,15.783333333333333,0.344978215661425,13.154772719300082,34.73184720900752,8,0.25881904510252074,0.9659258262890683,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 02:00:00,23.159833333333342,47.90083333333334,101.58133333333332,14.2,0.3155531545258196,15.623649443279838,31.502089076941218,8,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 03:00:00,22.239499999999996,48.19416666666666,101.5831666666667,13.716666666666667,0.2840175537904074,18.73314975872807,29.110386945646706,8,0.7071067811865476,0.7071067811865476,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 04:00:00,20.962833333333325,48.76399999999997,101.59433333333338,14.35,0.25579696431822635,16.279167634496755,28.98493633731715,8,0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 05:00:00,20.03683333333333,49.15983333333335,101.5946666666668,16.233333333333334,0.26360778101851023,16.949754850492177,29.749836364759016,8,0.9659258262890683,0.25881904510252074,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 06:00:00,19.984666666666666,49.60550000000001,101.61833333333331,20.7,0.39799316687788966,32.36377978986624,23.453666354412384,8,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 07:00:00,21.49216666666667,49.49516666666669,101.64949999999999,29.783333333333335,0.41582156728486513,28.44097184188316,24.025851319881085,8,0.9659258262890683,-0.25881904510252063,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 08:00:00,23.517333333333344,48.711500000000015,101.67383333333342,24.5,0.38498877211145416,25.912424690351216,23.799806127224162,8,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 09:00:00,26.817500000000003,46.9523333333333,101.66483333333328,16.683333333333334,0.4097718835478287,36.28527623231194,24.297437378387823,8,0.7071067811865476,-0.7071067811865475,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
2019-08-02 10:00:00,29.65633333333334,45.20416666666666,101.68299999999992,12.733333333333333,0.38966701568998474,43.10716271124121,20.490267441638796,8,0.49999999999999994,-0.8660254037844387,0.39435585511331855,0.9189578116202306,-0.8660254037844385,-0.5000000000000004,51.260847,-0.546053,33
