Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,3.378632090703788,17.94924326463481,0.701465897329726,4.2366547256809595,0.8375356095890645,0.6522633257751651,0.2980539754304865,0.7729138135910034
2 hours,3.3146188653553668,17.98567019812478,0.7028734801916053,4.240951567528776,0.8383755007105143,0.6228720092151973,0.2966454291306455,0.7797537446022034
3 hours,3.2207192482711298,17.407129417016968,0.6801564892004464,4.172185208858419,0.8247160051802357,0.5779005880732435,0.31937796905472093,0.7879617214202881
4 hours,3.4588418628220357,19.12921109927132,0.7472986099846155,4.37369535967828,0.8644643485908573,0.5846443611013303,0.2521898919934923,0.7681258320808411
5 hours,3.5743511520995437,20.34577174298665,0.7950206570605586,4.510628752511854,0.8916393088354497,0.548849829797497,0.2044351809565116,0.7537619471549988
6 hours,3.8599394262516493,23.048359107179525,0.9008949241826384,4.800870661367532,0.9491548473155677,0.5064177580335104,0.09848844684803737,0.7229822278022766
Média,3.467850440917252,19.31089747153567,0.7546183429915984,4.38916437927097,0.8676476033702816,0.5821579786659906,0.2448651489023157,0.764249861240387
