Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,2.3364049971511363,9.440261654304866,0.3689304064094813,3.072500879463644,0.6073964161974298,0.8104627797407559,0.6308170744896223,0.893980860710144
2 hours,2.419537106497452,10.35445224203125,0.40464824511199365,3.217833470214276,0.6361196782933175,0.7801824675873762,0.5950747882589085,0.8885089159011841
3 hours,2.5706628215514087,12.090840229707235,0.47243076357448416,3.4771885525100927,0.687335990309313,0.7405036315052052,0.5272458751910364,0.8885089159011841
4 hours,2.6005512822886554,12.877120991875854,0.5030554876462786,3.5884705644432775,0.7092640464920512,0.7163683287266818,0.49660018963801555,0.8775649666786194
5 hours,2.742188595323001,14.479292136405165,0.5657851908234773,3.805166505739948,0.7521869387482591,0.6807245844003312,0.43382755031901177,0.8570451140403748
6 hours,2.892863187515948,15.613288398031859,0.6102791180134409,3.9513653840200424,0.7812036341527354,0.6477479750749228,0.3893031686956532,0.8481532335281372
Média,2.593701331721267,12.475875942059373,0.4875215352631927,3.5187542260652136,0.695584450698851,0.7293316278392122,0.5121447744320412,0.8756269812583923
