Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,2.957849052720998,15.640116221797994,0.6112239941324316,3.9547586806021418,0.7818081568597449,0.7825207082445083,0.38835764584420607,0.7756497859954834
2 hours,2.9348468891518658,15.317616363166144,0.5986069022071242,3.913772650929809,0.7736969059050994,0.7514005670778025,0.4009833736982782,0.7804377675056458
3 hours,2.9374682088557087,15.743467216828572,0.6151514780818732,3.9678038279164674,0.784315930019194,0.7148451285847066,0.3844274736785088,0.797537624835968
4 hours,2.9352528303820846,15.95649963725647,0.6233539865946698,3.994558753761981,0.7895276984341143,0.6729325032767911,0.3762193508546152,0.8139534592628479
5 hours,3.0170361314089504,16.997739646915488,0.6641947188507749,4.122831508431491,0.8149814223961027,0.630596718169495,0.33535066464077146,0.8077975511550903
6 hours,3.209221753838179,19.297794650571465,0.7542960072677459,4.392925522993926,0.8685021630760317,0.5809567643388998,0.24518770525294697,0.794801652431488
Média,2.9986124777262977,16.49220562275602,0.6444711811891033,4.057775157439303,0.8021387127817144,0.6888753982820338,0.35508770232822107,0.7950296401977539
