Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,2.645724409386495,13.305899216786585,0.5200015619751532,3.6477252112496887,0.7211113381268895,0.7887729999287393,0.4796425163534058,0.8782489895820618
2 hours,2.493746316799876,11.648858886557965,0.455233188180531,3.4130424677343183,0.6747097066002022,0.770681573564063,0.5444552216838219,0.8830369114875793
3 hours,2.6089321484372214,12.6457494158334,0.4941129763517204,3.5560862497742374,0.7029317010575923,0.7316010407195435,0.5055488217479704,0.8727770447731018
4 hours,2.7189493201282326,13.485242109221275,0.5268122470513664,3.672225770458738,0.7258183292335393,0.6951575350662068,0.4728271696173185,0.8508892059326172
5 hours,2.9339248821879975,15.470577929155906,0.6045201521826674,3.933265555382182,0.7775089402589963,0.6499992595563613,0.39506607632370994,0.8262653946876526
6 hours,3.0857699400096847,17.316585699426415,0.6768561739359318,4.161320187083231,0.8227126922176001,0.6156829346222056,0.32268054326192186,0.8112174868583679
Média,2.7478411694915845,13.978818876163592,0.5462560499462283,3.730610906947066,0.7374654512491365,0.70864922390952,0.45337005816469134,0.8537392020225525
