Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,2.4603241512032805,9.843897692158647,0.38479424853810734,3.137498636200285,0.6203178608891633,0.8044481723861879,0.6149427342038352,0.8825136423110962
2 hours,2.6736942893494673,11.953951641775435,0.4673655351281895,3.4574487186038545,0.6836413790344975,0.7728389196831507,0.5323150079100003,0.8640710115432739
3 hours,2.746536490842293,13.193820481825242,0.5158140045592474,3.6323298971631477,0.718201924641843,0.7314438967818098,0.4838334226420108,0.8483606576919556
4 hours,2.844226598690768,14.632290299808352,0.5719585218391994,3.8252176800553914,0.7562793940331834,0.6891998403984142,0.42765052906863443,0.8196721076965332
5 hours,2.9761909949812084,16.430017309146546,0.642415098145375,4.053395775044247,0.8015080150225419,0.6456887258507427,0.3571457937902741,0.7937158346176147
6 hours,3.0773789139393246,17.586342317901913,0.687702798573416,4.1936073156534235,0.8292784807128519,0.60865943340692,0.3118271379962536,0.7930327653884888
Média,2.7963919065010567,13.94005329043602,0.5450083677972558,3.716583003786725,0.734871175722347,0.7087131647512042,0.45461910426850144,0.8335610032081604
