Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,2.4748705916825973,10.518684453870774,0.411171408583494,3.243252141581159,0.6412264877432108,0.8396186425968231,0.5885475446573922,0.8770492076873779
2 hours,2.544115770199694,11.49907373051029,0.4495811015963125,3.3910284178270005,0.6705080921184415,0.8095123261650924,0.5501115975823639,0.8654371500015259
3 hours,2.468353438616233,11.62042221521927,0.4543018093779825,3.408874039212841,0.6740191461508958,0.7736118188115745,0.5453876630694693,0.8825136423110962
4 hours,2.561612319718293,12.561199359952777,0.49100208314895083,3.5441782347890993,0.7007154081001435,0.7342105253063261,0.5086623036704963,0.869535505771637
5 hours,2.725765490070501,14.77514787461142,0.5777095600926042,3.843845454048773,0.760072075590601,0.6858367353602455,0.42189555982530924,0.8510928750038147
6 hours,2.8899808142191725,16.817751123211405,0.657647525794522,4.100945149988159,0.8109547002111289,0.6469324439769025,0.3419029543655636,0.8435792326927185
Média,2.6107830707510815,12.96537979289599,0.5069022480989777,3.5886872395745057,0.7095826516524036,0.7482870820361608,0.4927512705284325,0.8648679256439209
