Comparison,statistic,p-value
All Depths,"[176.91030412 180.65964845 200.16216309 148.19788913 123.69095956
 141.42764394]","[4.09889310e-38 6.35346611e-39 3.89155596e-43 6.44910925e-32
 1.23716592e-26 1.86047314e-30]"
All Depths + Real,"[196.66156786 190.7796172  205.20594996 150.82127152 128.27122213
 150.85290827]","[1.96140375e-41 3.60382434e-40 2.85408146e-43 1.35747183e-31
 9.12171527e-27 1.33644438e-31]"
