,Depth,statistic,p-value
0,Depth 4,0.6606172342252803,5.385359033603898e-113
1,Depth 4,0.6434528302376731,2.5147771466462624e-114
2,Depth 4,0.6706798289726719,3.460316044291516e-112
3,Depth 4,0.6710618022566632,3.7171383472976713e-112
