,Index,Depth 1,Depth 2,Depth 3,Depth 4
0,Depth 1,1.0,1.4652884625387104e-103,1.791505357153483e-51,7.588253746277746e-18
1,Depth 2,1.4652884625387104e-103,1.0,0.0,1.901544532184098e-27
2,Depth 3,1.791505357153483e-51,0.0,1.0,2.890179437065977e-136
3,Depth 4,7.588253746277746e-18,1.901544532184098e-27,2.890179437065977e-136,1.0
