Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,2.665519695768727,12.106115633728699,0.4749111927215904,3.479384375680373,0.6891380070215185,0.7406121709319096,0.5247668335884288,0.8651761412620544
2 hours,2.850325893838877,14.413451437229797,0.5654932216613087,3.7965051609644624,0.7519928335172542,0.6775545361396771,0.43412339310366665,0.8360433578491211
3 hours,3.0184454269094734,16.92169541812108,0.6640185879390957,4.1135988402031956,0.8148733569942606,0.6096738325445881,0.33553122996738616,0.825880765914917
4 hours,3.164389536417381,18.964206292464652,0.7432119822014608,4.354791188158699,0.8620974319654714,0.5476433975359067,0.2562841452682332,0.8218157291412354
5 hours,3.3727073043880957,21.09791339113905,0.8254203318307798,4.593246497972762,0.9085264618219877,0.5046014431089026,0.17402006116458912,0.7879403829574585
6 hours,3.5128365334671896,23.1976619838778,0.9069882374411296,4.816395123313472,0.9523593006009494,0.455841560895584,0.09239685527924935,0.7696477174758911
Média,3.0973707317982906,17.783507359426846,0.6966739256325608,4.192320197715494,0.8298312319869069,0.589321156859428,0.3028537530619256,0.8177506923675537
