Epoch,Loss,Val Loss
1.0,513.71240234375,455.52130126953125
2.0,444.5689392089844,443.5816345214844
3.0,434.2973937988281,436.9642028808594
4.0,426.0362243652344,426.2986145019531
5.0,396.00653076171875,389.4502258300781
6.0,376.9989013671875,381.1380920410156
7.0,366.49725341796875,367.41900634765625
8.0,357.04937744140625,356.3747863769531
9.0,345.5290222167969,344.5437927246094
10.0,314.7808532714844,289.501953125
11.0,269.5976257324219,253.80532836914062
12.0,242.53819274902344,256.24908447265625
13.0,227.33010864257812,209.86045837402344
14.0,197.0520782470703,185.8949432373047
15.0,183.54464721679688,176.93382263183594
16.0,177.81785583496094,176.03057861328125
17.0,172.8186798095703,164.928955078125
18.0,172.2568359375,185.3189239501953
19.0,172.58761596679688,168.89024353027344
20.0,172.80718994140625,161.13998413085938
21.0,166.82492065429688,159.97373962402344
22.0,166.84793090820312,173.3753662109375
23.0,170.3520965576172,163.13291931152344
24.0,163.4777374267578,156.01759338378906
25.0,162.16697692871094,159.95907592773438
26.0,169.96864318847656,168.98886108398438
27.0,166.72499084472656,154.67935180664062
28.0,160.3544158935547,160.80831909179688
29.0,157.29971313476562,152.04087829589844
30.0,163.3755645751953,148.7234344482422
31.0,154.90200805664062,149.71145629882812
32.0,156.45254516601562,146.86550903320312
33.0,155.059814453125,163.4534912109375
34.0,160.95594787597656,150.18936157226562
35.0,157.6336212158203,145.951416015625
36.0,152.4610137939453,150.34063720703125
37.0,151.1083221435547,159.95498657226562
38.0,150.21444702148438,143.8074493408203
39.0,147.27780151367188,144.02557373046875
40.0,146.09254455566406,140.35108947753906
41.0,146.99221801757812,143.3285369873047
42.0,142.92181396484375,141.589111328125
43.0,142.6024627685547,142.3815155029297
44.0,141.99111938476562,149.3167266845703
45.0,148.03379821777344,140.76449584960938
46.0,139.05441284179688,139.42947387695312
47.0,140.24388122558594,138.50828552246094
48.0,142.05242919921875,135.3439483642578
49.0,143.43016052246094,137.23963928222656
50.0,138.20091247558594,136.02198791503906
51.0,141.7321014404297,141.05308532714844
52.0,140.53793334960938,133.2018280029297
53.0,141.5889434814453,143.53443908691406
54.0,141.2032928466797,137.95526123046875
55.0,136.36224365234375,141.3408966064453
56.0,139.31771850585938,137.6266326904297
57.0,135.90357971191406,132.48373413085938
58.0,133.61158752441406,137.6792755126953
59.0,140.78689575195312,137.31141662597656
60.0,134.72164916992188,132.84799194335938
61.0,133.3282012939453,136.41783142089844
62.0,137.314208984375,130.88221740722656
63.0,139.4039764404297,134.66680908203125
64.0,132.69825744628906,132.845703125
65.0,132.74609375,132.46507263183594
66.0,133.19912719726562,134.89718627929688
67.0,132.7796173095703,131.8807830810547
68.0,132.2298126220703,130.8082733154297
69.0,134.03936767578125,135.43821716308594
70.0,131.82083129882812,131.49644470214844
71.0,130.15733337402344,130.1531219482422
72.0,130.7067108154297,130.95912170410156
73.0,132.21682739257812,126.52000427246094
74.0,132.9349822998047,126.57256317138672
75.0,129.12962341308594,126.2114028930664
76.0,129.25514221191406,128.76817321777344
77.0,135.5103759765625,159.2678680419922
78.0,141.98471069335938,130.69618225097656
79.0,128.1266326904297,129.24375915527344
80.0,129.5609130859375,126.46363067626953
81.0,129.75762939453125,131.68043518066406
82.0,128.1554718017578,127.61314392089844
83.0,126.19560241699219,125.17827606201172
84.0,127.57396697998047,125.97196960449219
85.0,125.69398498535156,129.5052947998047
86.0,126.87235260009766,125.10310363769531
87.0,128.6710205078125,126.65664672851562
88.0,128.44479370117188,127.5216064453125
89.0,127.74512481689453,128.9568634033203
90.0,127.56890869140625,127.78646850585938
91.0,127.43578338623047,126.09370422363281
92.0,125.53253936767578,125.89682006835938
93.0,127.60065460205078,123.84071350097656
94.0,130.71707153320312,125.30011749267578
95.0,125.68741607666016,128.3762664794922
96.0,130.36672973632812,132.87071228027344
97.0,128.51885986328125,128.77529907226562
98.0,128.75022888183594,125.26649475097656
99.0,125.44256591796875,128.7737274169922
100.0,124.635009765625,124.89608001708984
