Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,2.9359464460218283,15.082441216185696,0.5916695630409955,3.8836118776450483,0.7692006000004131,0.6924568159864153,0.4079293050518581,0.8204606771469116
2 hours,3.144292498227165,18.109860611836684,0.7105170795367138,4.255568189071429,0.8429217517283046,0.6275155407224463,0.28900121396868506,0.7757452726364136
3 hours,3.2163963892595553,19.439365556145855,0.7628136394182382,4.409009589028567,0.8733920307732596,0.5686288503575823,0.23666919879232573,0.7920054197311401
4 hours,3.353406702712945,21.366730649306565,0.8373675119398849,4.622416105166925,0.9150778720632933,0.5049482977833604,0.16206478127235913,0.781842827796936
5 hours,3.423143525293741,22.3273927909907,0.8735216428652104,4.725187064126742,0.9346237975063606,0.4761796764085501,0.12588613907183,0.7825203537940979
6 hours,3.5074148715780784,23.888165860553645,0.9339857380723462,4.8875521337939345,0.966429375625734,0.4377489513332784,0.06538105125777427,0.7628726363182068
Média,3.2634334055155523,20.03565944750319,0.7849791958122315,4.463890826472108,0.8836075712828942,0.5512463554319388,0.21448861490247206,0.7859078049659729
