,Depth,statistic,p-value
0,Depth 4,0.9095864767570512,2.92613577426231e-80
1,Depth 4,0.9365993049819431,1.9003810762331073e-72
2,Depth 4,0.7973053383389678,1.4821896198095378e-99
3,Depth 4,0.9859471348614407,7.749785579376671e-44
