Comparison,statistic,p-value
All Depths,"[ 6267.10643974  8074.06550994  5948.33420308 10648.44651408
 12565.91245929 10937.93784585]",[0. 0. 0. 0. 0. 0.]
All Depths + Real,"[ 9402.88267155 10938.6461293   9131.95866367 13124.35945131
 14754.06411195 13367.86828955]",[0. 0. 0. 0. 0. 0.]
