,Index,Depth 1,Depth 2,Depth 3,Depth 4
0,Depth 1,1.0,0.0,0.0,0.0
1,Depth 2,0.0,1.0,0.0,0.0
2,Depth 3,0.0,0.0,1.0,0.0
3,Depth 4,0.0,0.0,0.0,1.0
