,Depth,statistic,p-value
0,Depth 4,0.9120390177860737,1.366315621566737e-79
1,Depth 4,0.8436277211599195,4.543330077503126e-93
2,Depth 4,0.8106593182183899,8.657106335123025e-98
3,Depth 4,0.6078177745562381,7.639628503572268e-117
