Comparison,statistic,p-value
All Depths,"[11486.69782704 14295.26852177 14318.83915341 15028.9497002
 14528.44383408 14813.84845777]",[0. 0. 0. 0. 0. 0.]
All Depths + Real,"[13812.03498494 16200.13798331 16221.48118201 16806.95552991
 16372.40150393 16633.09514381]",[0. 0. 0. 0. 0. 0.]
