Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,3.4941979901707585,21.20514759978172,0.831656355126011,4.60490473297567,0.911951947816337,0.6782561301884842,0.16777904449712133,0.7761194109916687
2 hours,3.733964032374157,25.0034563366719,0.980532219493034,5.000345621721753,0.990218268612044,0.59855237628919,0.0188021102968553,0.7584803104400635
3 hours,3.7405242638801464,25.418924356184334,0.9968978845301766,5.041718393185436,0.9984477375056625,0.5511977892685159,0.0024253348285944165,0.7652645707130432
4 hours,4.0724725284548375,31.372776990285804,1.2287774632872497,5.601140686528575,1.1085023515028056,0.4582831718503063,-0.22961166387332388,0.7238805890083313
5 hours,4.197369064976328,34.48108582781089,1.3481531802835995,5.872059760238385,1.1610999872033414,0.4250872535433516,-0.34906842344740374,0.7055630683898926
6 hours,4.598284773231361,44.66554944788806,1.7455537974202855,6.683228968686324,1.3211940801488196,0.3684210810892548,-0.7467388305482014,0.6913161277770996
Média,3.9728021088479317,30.35782342643712,1.1885951500233927,5.46723302722269,1.0819023954648348,0.5132996337048504,-0.189402071374393,0.7367706298828125
