Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,3.228985746601813,17.726288021345844,0.6952170465391199,4.2102598519979555,0.8337967657283877,0.6344431956291918,0.30431097990586375,0.7924016118049622
2 hours,3.4230248097487026,20.55087852717753,0.8059205200854764,4.53330768062102,0.8977307614677557,0.5627252145983899,0.19353235125187207,0.7795115113258362
3 hours,3.629663903537459,24.042474386896043,0.9429152673541954,4.903312593226751,0.9710382419627949,0.50746575298248,0.05644460008140939,0.7516960501670837
4 hours,3.8302229369221794,27.548000600712506,1.078972457785949,5.248618923175172,1.0387359904162121,0.4419885652051323,-0.07970495775729058,0.7299864292144775
5 hours,3.9367156218688923,31.146070578740154,1.217759623747087,5.580866472039996,1.1035214650142002,0.4054992320157652,-0.21858634446925063,0.7245590090751648
6 hours,4.007833594037031,33.09870091635998,1.2935151092597221,5.7531470445626525,1.1373280570089364,0.3609176673000124,-0.29439325936784133,0.7225237488746643
Média,3.6760744354526795,25.68540217187201,1.0057166707952583,5.038252094270591,0.9970252135997145,0.48550660462182854,-0.006399438392539554,0.7501130700111389
