Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 hours,3.050506002673301,17.345519428269988,0.6802834735105037,4.164795244459202,0.8247929882767575,0.6993103385065222,0.3192546911374865,0.8134328126907349
2 hours,3.306504414034127,21.18469564610876,0.8307762079555896,4.602683526608011,0.9114692578225496,0.6138386471724306,0.16865978918768565,0.7937584519386292
3 hours,3.36380246349289,21.904715496779815,0.8590750825639232,4.680247375596702,0.9268630333355209,0.5713523611146283,0.14034170285185155,0.7883310914039612
4 hours,3.4461807711935326,24.027086874896618,0.9410688403343945,4.9017432485694945,0.9700870271962174,0.5305202307484388,0.0582922806158197,0.7713704109191895
5 hours,3.549267988423857,26.17826339610949,1.023526614794177,5.116469817765907,1.0116949217991444,0.48301279228161664,-0.024221473324247844,0.7672998905181885
6 hours,3.726923921419883,28.469276557876224,1.112594704860591,5.335660836098582,1.0547960489405481,0.4074116134784649,-0.11335003052580528,0.7496607899665833
Média,3.4071975935395984,23.184926233340146,0.9078874873365298,4.80026667484965,0.9499505462284564,0.5509076638836836,0.09149615999046505,0.7806422710418701
