Comparison,statistic,p-value
All Depths,"[14539.47068026 16259.4954247  15519.10290937 14789.09875456
 15141.86257227 14634.11005088]",[0. 0. 0. 0. 0. 0.]
All Depths + Real,"[16275.30043955 17695.77949135 17048.1276625  16480.33605153
 16657.69860946 16262.18871092]",[0. 0. 0. 0. 0. 0.]
