,Depth,statistic,p-value
0,Depth 4,0.9552055064092485,3.818667077850195e-65
1,Depth 4,0.9464953217162136,8.396514323322216e-69
2,Depth 4,0.7296683252083321,7.021318065355313e-107
3,Depth 4,0.5331526096173258,1.201569500354623e-121
